French Adjective	English Meaning	Masculine Singular	Feminine Singular
Bon	Good	bon	bonne
Petit	Small	petit	petite
Grand	Big/Tall	grand	grande
Beau	Beautiful	beau	belle
Nouveau	New	nouveau	nouvelle
Vieux	Old	vieux	vieille
Chaud	Hot	chaud	chaude
Froid	Cold	froid	froide
Cher	Expensive	cher	chère
Délicieux	Delicious	délicieux	délicieuse
Propre	Clean	propre	propre
Plein	Full	plein	pleine
Ouvert	Open	ouvert	ouverte
Fermé	Closed	fermé	fermée
Malade	Sick	malade	malade
Fatigué	Tired	fatigué	fatiguée
Content	Happy	content	contente
Occupé	Busy	occupé	occupée
Facile	Easy	facile	facile
Difficile	Difficult	difficile	difficile
